@relation hayes-roth

@attribute name numeric
@attribute hobby numeric
@attribute age numeric
@attribute 'educational level' numeric
@attribute 'marital status' numeric
@attribute class numeric

@data
20,1,1,3,3,1
26,1,1,2,2,2
28,1,1,2,1,1
30,1,1,3,2,1
41,1,1,3,2,2
44,1,1,4,3,3
54,1,1,1,2,1
59,1,1,1,2,1
66,1,1,1,2,1
88,1,1,2,2,2
94,1,1,2,1,1
96,1,1,1,2,1
104,1,1,2,2,2
107,1,1,3,4,3
108,1,1,2,1,1
112,1,1,1,3,1
113,1,1,3,2,2
120,1,1,3,2,1
128,1,1,2,4,3
2,2,1,3,2,2
10,2,1,3,2,2
17,2,1,1,2,1
25,2,1,2,2,2
38,2,1,1,4,3
40,2,1,2,1,1
60,2,1,2,2,2
78,2,1,2,2,2
92,2,1,1,2,1
93,2,1,2,1,1
97,2,1,3,1,1
118,2,1,2,1,1
121,2,1,3,2,1
123,2,1,2,1,1
130,2,1,1,2,1
9,3,1,1,2,1
22,3,1,4,4,3
45,3,1,1,2,1
51,3,1,1,2,1
62,3,1,2,2,2
71,3,1,2,2,2
73,3,1,2,2,2
80,3,1,3,2,2
83,3,1,4,1,3
89,3,1,3,2,1
102,3,1,4,2,3
106,3,1,2,1,1
116,3,1,2,2,2
119,3,1,3,2,1
126,3,1,2,1,1
127,3,1,2,1,1
7,1,2,1,1,1
11,1,2,4,2,3
14,1,2,2,1,2
21,1,2,2,1,2
24,1,2,3,3,2
33,1,2,2,3,2
35,1,2,1,3,1
37,1,2,1,3,2
49,1,2,1,2,2
50,1,2,1,1,1
52,1,2,2,1,2
58,1,2,2,1,2
75,1,2,4,4,3
81,1,2,1,1,1
82,1,2,1,2,2
90,1,2,1,2,2
115,1,2,1,3,2
18,2,2,4,3,3
34,2,2,1,2,2
36,2,2,1,1,1
42,2,2,1,3,1
56,2,2,1,2,2
63,2,2,2,1,2
70,2,2,2,1,2
72,2,2,1,4,3
84,2,2,2,1,2
86,2,2,1,2,2
87,2,2,4,1,3
99,2,2,3,2,2
103,2,2,1,1,1
109,2,2,1,3,2
114,2,2,1,3,1
122,2,2,3,4,3
129,2,2,1,2,2
132,2,2,1,1,1
1,3,2,1,1,1
6,3,2,1,3,2
16,3,2,1,3,1
19,3,2,1,3,1
23,3,2,1,3,2
39,3,2,1,2,2
43,3,2,2,4,3
53,3,2,1,2,2
57,3,2,1,1,1
74,3,2,1,1,1
76,3,2,2,1,2
77,3,2,2,1,2
79,3,2,2,1,2
85,3,2,1,2,2
105,3,2,1,1,1
5,1,3,2,1,1
15,1,3,2,1,1
48,1,3,2,4,3
117,1,3,2,1,2
32,2,3,2,1,2
65,2,3,2,3,2
91,2,3,2,1,1
95,2,3,2,1,1
100,2,3,4,1,3
111,2,3,2,1,2
131,2,3,1,3,1
13,3,3,4,2,3
29,3,3,2,1,2
31,3,3,2,1,2
67,3,3,1,1,1
68,3,3,2,1,1
69,3,3,3,1,1
98,3,3,3,2,2
101,3,3,1,4,3
124,3,3,2,2,2
3,1,4,1,1,3
27,1,4,4,1,3
47,1,4,2,1,3
55,1,4,2,3,3
4,2,4,4,2,3
8,2,4,1,4,3
61,2,4,2,2,3
110,2,4,3,1,3
12,3,4,1,3,3
46,3,4,1,2,3
64,3,4,3,2,3
125,3,4,2,4,3
